屡	076	800
屖	076112	670
遟	076114	670
憵	0765	670
屎	0768	670
糪	0768	669
屡	076859	670
甓	077	800
甓	0779	670
届	078	800
屌	0780	800
屌	078025	670
届	0783	670
屇	0783	669
鼊	0785	670
屢	0789	670
尾	079	800
鐾	0791	670
䴙	0796	669
鸤	0796	670
鳲	0796	668
鸊	0796	667
鷿	0796	666
尾	0797	670
擘	0797	669
屗	079714	670
屘	079758	670
⺪	08	668
蛋	08	800
疋	08	669
疎	081804	670
胥	082	800
胥	082511	670
蛋	0826	670
疏	084	800
疏	084155	670
疍	088	800
疍	08811	670
一	1	670
一	1	550
把	10	800
扌	10	670
据	100	800
扫	1001	670
挦	10011	800
挦	100114	669
撏	100114	668
捸	100124	670
捃	10013	800
捃	100130	670
掃	100145	670
揵	100154	670
拙	1002	670
摪	100294	670
拫	1003	670
摡	100315	670
揤	100352	670
摺	1004	800
挧	1004	670
擢	10043	800
擢	100431	670
摺	100431	669
摎	100433	670
拶	1005	800
擸	100525	670
摷	100582	670
拶	100590	670
拇	1006	670
掼	10062	800
掼	100628	670
摜	100628	669
握	1007	800
擗	1007	670
掘	10070	800
掘	100702	670
搌	10071	800
据	100710	670
搌	100714	670
握	100719	670
摨	100721	670
抳	100735	670
摒	10074	800
択	10074	670
摒	100748	670
挶	100750	670
搱	100762	670
捤	100797	670
揟	100821	670
找	101	800
捷	1010	800
捷	101014	670
捿	101015	670
挳	101051	670
扶	1011	800
抂	1011	670
挵	101112	670
抹	10112	670
扞	10112	669
扜	10112	668
抺	10112	667
拭	101124	670
抚	10113	800
扶	101134	670
掭	101134	669
抚	101135	670
抏	101135	669
摫	101135	668
撵	101137	670
攆	101137	669
攅	101138	670
抟	10115	800
扝	10115	670
抟	101154	670
抎	101154	669
打	1012	670
扛	10121	670
疌	101214	670
摃	101218	670
挜	10122	670
掗	10122	669
搢	101221	670
揇	101222	670
搷	101224	670
擜	101224	669
攧	101228	670
挝	10124	800
挝	101244	670
捄	101244	669
挬	101248	670
技	10125	800
捂	101250	670
郪	101252	670
捕	101254	670
搏	101254	669
揀	101254	668
技	101254	667
拺	101254	666
抦	101254	665
掚	101254	664
鶈	101256	669
攦	101257	670
妻	101259	670
揸	10128	800
揸	101281	670
擀	101282	670
撠	101284	670
拔	1013	800
振	10131	800
振	101314	670
搙	101314	669
揻	101314	668
搣	101314	667
撼	101315	670
捱	101319	670
抔	10132	800
擾	101320	670
抷	101321	670
挒	101322	670
抔	101324	670
抪	101325	670
摕	101325	669
拵	101328	670
挎	10134	800
扙	10134	670
撦	101341	670
掎	101342	670
捹	101342	669
撩	101344	670
撅	101344	669
捺	101344	668
挞	101344	667
挾	101344	666
摤	101344	665
摦	101344	664
擟	101344	663
掩	101345	670
抠	101345	669
挎	101345	668
扰	10135	800
扤	10135	670
拋	101353	670
拢	101354	670
扰	101354	669
拔	101354	668
抜	101354	667
扼	101355	670
拻	101369	670
摵	101384	670
擫	101384	669
攊	101391	670
拓	1014	670
揼	101424	670
挟	10143	800
抨	101432	670
挟	101434	670
擓	101445	670
批	1015	800
拒	10151	800
拒	101515	670
扽	10152	800
扽	101525	670
挠	10153	800
揩	101531	670
撍	101531	669
找	101534	670
批	101535	670
挠	101535	669
捯	10154	800
捯	101542	670
挃	101549	670
拣	10155	800
拣	101554	670
挗	101574	670
擂	1016	800
摴	10161	800
擩	101612	670
摴	101615	670
攉	10163	800
攉	101631	670
擂	101683	670
摸	1017	800
掿	101710	670
擆	101711	670
撶	101712	670
擛	101712	669
搽	10173	800
擏	101730	669
搽	101732	670
擭	101734	670
捞	10174	800
捞	101743	670
搑	101772	670
描	10178	800
描	101783	670
摸	101784	670
擖	101785	670
搭	10179	800
搭	101794	670
攃	101794	669
措	1018	800
拑	1018	670
攮	10180	800
抲	101802	670
搹	101802	669
揦	101802	668
揊	101803	670
捒	101804	670
掝	101804	669
摗	101804	668
攮	101804	667
摳	101805	670
攋	101808	670
揠	10181	800
挭	101814	670
摶	101814	669
揠	101815	670
撒	10182	800
撒	101820	670
拱	10183	800
攤	101831	670
拱	101834	670
擹	101834	669
抴	10185	670
揲	101852	670
措	101881	670
撗	101884	670
挂	1019	800
扗	1019	670
持	10191	800
掛	101914	670
持	101914	669
撓	101915	670
挂	101919	670
拷	10193	800
掕	101930	670
搘	101931	670
捇	101934	670
擮	101934	669
拷	101935	670
撻	101944	670
抾	101954	670
搕	101954	669
擣	101954	668
拮	10198	800
拮	101980	670
撷	101988	670
擷	101988	669
擡	101989	670
挡	102	800
摧	1020	800
揣	10201	800
揣	102012	670
攜	102030	670
摧	102031	670
扯	1021	670
揹	102111	670
挊	102114	669
拤	10212	800
掯	102121	670
捗	102123	670
拤	102124	670
揁	102128	670
掉	10218	800
拈	102180	670
掉	102182	670
匨	102195	670
揽	1022	800
揽	102235	670
擈	102241	670
撲	102243	670
排	1023	670
抄	10234	800
抄	102343	670
挘	102343	669
毮	102347	670
扑	1024	670
挡	102401	670
捎	10241	800
捎	102411	670
摚	102419	670
挄	102435	670
撐	10247	800
撐	102479	669
擋	10248	800
擋	102483	670
攩	102486	670
撑	10249	800
撑	102497	670
捆	1025	800
摁	10251	800
挏	102510	670
捆	102511	670
掴	102511	669
摑	102511	668
抰	102514	670
捵	102514	669
擃	102514	668
摁	102515	670
抩	102521	670
㧏	102534	668
抐	102534	670
搵	102534	669
掆	102540	670
撾	102554	670
攌	102581	670
抯	1027	670
撄	1028	800
撄	102829	670
攖	102829	669
捉	1029	670
热	103	800
插	1031	800
挴	103106	670
抶	103114	670
撫	103119	670
捶	10312	800
扦	10312	670
捶	103121	670
拃	103121	669
插	103128	670
揷	103128	669
抍	103132	670
托	10315	670
扢	10315	669
扥	10315	668
逰	103154	670
拖	103155	670
揰	10318	800
揰	103181	670
挿	103182	670
摥	103183	670
挺	10319	800
捁	103190	670
挺	103194	670
攒	103198	670
攢	103198	669
推	1032	800
扸	1032	670
拊	10321	800
挻	103214	670
拊	103214	669
拰	103239	670
携	10324	800
推	103241	670
携	103243	670
㩳	103244	670
擕	103245	670
撨	103249	670
搥	103254	670
擙	103254	669
摠	103255	670
摀	103259	670
折	1033	670
梊	103312	669
揗	103312	668
硩	103314	667
埑	103319	670
抓	10332	800
抓	103324	670
蜇	103326	670
踅	103329	666
掀	10333	800
挀	103334	670
摐	103334	669
掀	103334	668
拆	10334	670
誓	103340	670
逝	103344	669
裚	103344	666
扳	10335	800
乴	10335	670
鋬	103351	670
扳	103354	670
娎	103359	669
悊	103365	669
烲	103369	668
焎	103369	667
搋	10338	800
哲	103380	669
晢	103381	670
擨	103384	670
搋	103385	670
銴	103391	669
抢	1034	800
扒	1034	670
扖	1034	669
捡	10341	800
捨	103410	669
拴	103411	670
捈	103412	670
揄	103412	669
掵	103412	668
挑	103414	670
捡	103414	669
摋	103414	668
撿	103414	667
掄	103417	670
抡	10343	800
扴	103432	670
抮	103433	670
攕	103434	670
抡	103435	670
挫	103439	670
拎	10344	800
搶	103440	670
擒	103444	670
拎	103444	669
搇	103444	668
扵	103444	667
捻	103445	670
扲	103445	669
扮	10345	800
扮	103453	670
抸	103454	670
抢	103455	670
捴	103455	669
摿	103461	670
挩	103485	670
指	1035	800
扏	1035	670
捔	1035	669
挣	10350	800
挣	103502	670
拥	10351	800
捪	103511	670
拥	103512	670
挆	103512	669
抵	103514	670
扺	103515	670
换	10352	800
换	103524	670
換	103524	668
擔	103530	669
扻	103534	670
揔	103535	670
执	10354	670
扱	10354	669
扚	10354	668
揈	103540	670
抣	103541	670
势	103543	670
絷	103544	670
蛰	103546	670
鸷	103546	668
挚	103547	670
贽	103548	670
垫	103549	670
热	103549	669
投	10355	800
抑	103552	670
抛	103553	670
搊	103553	669
投	103554	670
抅	103554	669
抱	103555	670
掬	10356	800
掬	103568	670
挽	10358	800
拘	103580	670
指	103581	670
搀	103584	670
攙	103584	669
挽	103585	670
掏	10359	800
掏	103592	670
掐	103598	670
擬	103598	669
播	1036	800
抈	1036	670
掤	103636	670
播	103683	670
攥	1037	800
擳	103702	670
擌	103714	670
擶	103742	670
攥	103784	670
撘	103794	670
拍	1038	800
拍	10381	670
撽	103810	670
揘	103811	670
捭	103812	670
擽	103812	669
搝	103824	670
