琼	1141	800
璮	11412	800
璃	11413	800
琉	11415	800
瓖	11418	800
班	1143	800
瑳	11431	800
琛	1145	800
珲	11457	800
琮	1146	800
瑄	11461	800
琯	11462	800
琬	11469	800
瑭	1147	800
珉	1151	800
玦	11513	800
瑂	11521	800
韬	11523	800
违	11524	800
韧	11525	800
韫	11528	800
玻	1153	800
盏	11534	800
珕	11535	800
珈	11538	800
叇	11540	800
叆	11543	800
运	11544	800
动	11545	800
魂	11549	800
瑑	1155	800
璒	1156	800
斑	116	800
璇	1160	800
璋	1161	800
璘	1168	800
琰	1169	800
匿	117	800
慝	1171	800
璈	11715	800
瑃	1173	800
琫	11731	800
瑧	11739	800
琏	1177	800
琎	1178	800
琊	11795	800
理	118	800
珵	1180	800
琄	11802	800
璪	11808	800
琨	1181	800
瑆	11813	800
璟	11814	800
瑅	11817	800
現	1182	800
環	1184	800
甙	1185	800
琥	1187	800
璩	11871	800
琡	11875	800
瑰	119	800
珞	11908	800
瑤	11909	800
琇	1192	800
根	120	800
棂	1201	800
楗	12011	800
棣	12012	800
概	12031	800
榍	1207	800
椐	12071	800
标	1211	800
框	12111	800
项	12113	800
楚	12120	800
植	12122	800
枝	12125	800
焚	12126	800
梦	12129	800
杯	1213	800
橱	12131	800
顶	12132	800
恐	12135	800
槭	12138	800
枰	12143	800
柜	12151	800
栋	12152	800
桎	12154	800
樗	1216	800
模	1217	800
贲	12172	800
檬	12174	800
栉	12175	800
横	1218	800
梗	12181	800
政	1219	800
桂	12191	800
棱	12193	800
梽	12196	800
桔	12198	800
桤	1220	800
梣	12203	800
棹	1221	800
栌	12210	800
桢	12212	800
槛	1222	800
榄	12223	800
杪	12234	800
档	12240	800
梢	12241	800
桄	12243	800
檔	12248	800
南	1225	800
桐	12251	800
枧	12253	800
献	12254	800
恶	1226	800
矗	12271	800
真	12273	800
晋	1228	800
樱	12282	800
梅	1231	800
株	12311	800
棰	12312	800
栴	12313	800
梏	12319	800
椎	1232	800
梴	12321	800
桦	12323	800
樵	12324	800
槌	12325	800
板	1233	800
松	1234	800
检	12341	800
攀	12343	800
柃	12344	800
枪	12345	800
栎	12352	800
柳	12353	800
构	12355	800
枸	12358	800
棚	1236	800
棉	1238	800
鼒	12382	800
桴	1239	800
榔	1240	800
槠	12401	800
求	1241	800
柿	12412	800
救	12413	800
核	12415	800
榈	1242	800
样	1243	800
梯	12435	800
樽	12437	800
棁	12438	800
过	1244	800
桫	12442	800
述	12445	800
索	1245	800
枕	12453	800
勃	12455	800
疐	12458	800
棕	1246	800
柠	12461	800
棺	12462	800
榨	12463	800
榕	12469	800
桩	1247	800
树	125	800
甫	12511	800
遭	12517	800
吾	12518	800
再	1252	800
椭	12521	800
刺	12523	800
两	1253	800
协	12534	800
楹	12535	800
枷	12538	800
翅	12540	800
柽	12541	800
桶	12542	800
丽	125425	800
柬	12543	800
卖	12544	800
椽	12551	800
橼	12555	800
橙	1256	800
機	12565	800
橄	1257	800
楼	126	800
椸	12603	800
榜	1261	800
梓	12611	800
樟	12618	800
榉	1264	800
校	1266	800
棪	12696	800
棒	127	800
楔	1271	800
椰	1272	800
欖	12723	800
梆	1273	800
梼	12731	800
椿	12738	800
榛	12739	800
標	12741	800
槚	12742	800
槱	1275	800
樾	1276	800
梿	1277	800
構	12781	800
樹	1279	800
朝	128	800
嘏	12800	800
枵	12801	800
克	12803	800
楫	12807	800
噩	12808	800
故	12809	800
棵	1281	800
榻	12810	800
榅	12818	800
想	12826	800
楒	12836	800
楞	1284	800
椤	12849	800
椒	1287	800
欄	12881	800
桥	129	800
格	1290	800
柊	12904	800
鬱	12921	800
楸	12926	800
橋	12948	800
橹	1295	800
橇	1297	800
榭	12991	800
櫆	12994	800
有	13	800
厩	130	800
左	131	800
残	1311	800
辰	13115	800
殖	13122	800
厢	13128	800
厌	1313	800
魇	13134	800
厖	13135	800
燹	13136	800
厦	13138	800
威	1315	800
厲	1317	800
勵	13178	800
感	1318	800
咸	13180	800
厝	13188	800
压	1319	800
在	132	800
裂	13224	800
烈	13226	800
甭	13243	800
还	13244	800
孬	13245	800
否	13248	800
而	1325	800
殃	13251	800
面	13252	800
厕	13282	800
原	133	800
殊	1331	800
殇	13315	800
雁	1332	800
赝	13323	800
殓	13341	800
殄	13343	800
殁	13355	800
殉	13358	800
愿	1338	800
願	13381	800
殍	1339	800
夸	1341	800
奈	13411	800
夺	13412	800
奁	13413	800
奇	13418	800
奢	13419	800
爾	1342	800
爽	1343	800
奪	13432	800
厥	13435	800
殚	13438	800
飙	13441	800
遼	13443	800
达	13445	800
态	13446	800
欧	13453	800
瓯	13457	800
鸥	13459	800
殡	1346	800
殯	13461	800
套	1347	800
奋	1348	800
奄	13481	800
奓	1349	800
成	135	800
臧	1351	800
尴	1352	800
殛	13528	800
尨	13533	800
尥	13535	800
翃	13540	800
雄	13543	800
殆	13548	800
顾	1355	800
盛	13553	800
尷	1357	800
灰	136	800
盔	13698	800
厮	137	800
殪	1379	800
右	138	800
殒	13802	800
皕	13811	800
厘	13812	800
厚	13815	800
夏	1382	800
戛	13821	800
厠	13822	800
戚	1387	800
蹙	13875	800
歷	139	800
曆	1392	800
碌	140	800
碾	1407	800
砖	141	800
矸	1411	800
砸	1412	800
碴	14128	800
硕	1413	800
砺	14131	800
碩	14132	800
磊	1414	800
砰	14143	800
砌	1415	800
砘	14152	800
砒	14153	800
礵	1416	800
礴	1417	800
砹	14173	800
硭	14174	800
礤	14179	800
硬	1418	800
碟	14181	800
礓	14183	800
磺	14188	800
硅	1419	800
磕	14195	800
砂	142	800
碳	1420	800
硙	14205	800
砧	1421	800
硝	1424	800
泵	1425	800
碘	14251	800
砚	14253	800
平	143	800
颊	14313	800
礁	14324	800
硇	14325	800
夹	1433	800
砭	1434	800
砼	14341	800
砥	14351	800
砾	14352	800
砍	14353	800
硼	1436	800
磻	14368	800
碑	1438	800
碰	144	800
碎	1441	800
硫	14415	800
磁	1443	800
匯	14432	800
磲	1444	800
確	1445	800
碗	1446	800
硿	14461	800
砣	14463	800
碇	14467	800
礦	14471	800
破	145	800
砄	1451	800
砀	1453	800
碜	1454	800
硁	14541	800
磉	14545	800
磴	1456	800
磯	14565	800
砩	1457	800
磷	146	800
